City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.22,few clouds,-9.8,-139.0333,Villa Enata
3,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Kavieng,PG,81.37,light rain,-2.5744,150.7967,Nusa Island Retreat
10,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
12,Takoradi,GH,81.03,scattered clouds,4.8845,-1.7554,Raybow International Hotel
13,Chabahar,IR,70.47,overcast clouds,25.2919,60.643,هتل گدروشیا
17,Hobart,AU,68.02,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
19,Manoel Urbano,BR,79.18,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
20,Poum,NC,77.97,clear sky,-20.2333,164.0167,Gîte kajeon
24,Punta Arenas,CL,69.91,clear sky,-53.15,-70.9167,Hotel Hain
25,Ponta Do Sol,PT,66.83,broken clouds,32.6667,-17.1,Hotel do Campo
26,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
27,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Sibolga,ID,73.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
31,Rikitea,PF,77.54,light rain,-23.1203,-134.9692,People ThankYou
33,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
36,Port Alfred,ZA,65.19,few clouds,-33.5906,26.891,The Halyards Hotel
37,Ushuaia,AR,64.06,few clouds,-54.8,-68.3,Albatros Hotel
